Month,usg_apt,fg_apt,carrier,type,Scheduled
6,LAX,IST,TK,Passengers,19415
6,ORD,IST,TK,Passengers,19411
6,EWR,BOM,AI,Passengers,19341
6,BOS,YYZ,KV,Passengers,19322
6,BOS,LGW,DI,Passengers,19278
6,IAH,IST,TK,Passengers,19275
6,IAD,PTY,CM,Passengers,19229
6,LAX,YYZ,WS,Passengers,19194
6,JFK,KEF,FI,Passengers,19185
6,MSP,YVR,DL,Passengers,19121
6,JFK,DEL,AI,Passengers,19069
6,JFK,MAD,DY,Passengers,19068
6,SEA,KEF,FI,Passengers,19031
6,SFO,TPE,UA,Passengers,19024
6,PHX,LHR,BA,Passengers,19004
6,SFO,TLV,UA,Passengers,18971
6,ORD,KEF,FI,Passengers,18964
6,EWR,MAD,UA,Passengers,18959
6,LAX,LGW,DI,Passengers,18919
6,BOS,DOH,QR,Passengers,18902
6,MDW,YTZ,PD,Passengers,18883
6,SFO,HKG,UA,Passengers,18870
6,ORD,MEX,4O,Passengers,18777
6,LAX,SJD,AS,Passengers,18741
6,LAX,BNE,QF,Passengers,18673
6,SFO,YUL,AC,Passengers,18610
6,AUS,LHR,BA,Passengers,18601
6,JFK,AMS,DY,Passengers,18574
6,IAH,PTY,UA,Passengers,18570
6,DEN,LHR,BA,Passengers,18553
6,LAX,LHR,NZ,Passengers,18511
6,EWR,DXB,EK,Passengers,18449
6,MCO,YUL,RV,Passengers,18447
6,IAH,BZE,UA,Passengers,18391
6,LAS,LHR,BA,Passengers,18362
6,LAX,ZRH,LX,Passengers,18352
6,LAX,SYD,VA,Passengers,18336
6,SFO,ZRH,LX,Passengers,18252
6,ORD,MAD,IB,Passengers,18220
6,EWR,SDQ,UA,Passengers,18216
6,EWR,NRT,UA,Passengers,18214
6,DFW,DOH,QR,Passengers,18199
6,LAX,SJD,DL,Passengers,18194
6,BWI,CUN,WN,Passengers,18186
6,LAS,YYZ,WS,Passengers,18131
6,FLL,PAP,B6,Passengers,18070
6,MIA,IST,TK,Passengers,18060
6,SFO,NRT,UA,Passengers,17968
6,EWR,DUB,UA,Passengers,17957
6,ATL,YYZ,KV,Passengers,17949
6,EWR,ATH,EK,Passengers,17945
6,DFW,GDL,AA,Passengers,17901
6,SFO,DUB,EI,Passengers,17898
6,JFK,GRU,JJ,Passengers,17890
6,ORD,DEL,AI,Passengers,17864
6,DEN,CUN,UA,Passengers,17839
6,HOU,CUN,WN,Passengers,17825
6,SFO,SIN,SQ,Passengers,17810
6,PHL,DOH,QR,Passengers,17776
6,IAD,AMS,KL,Passengers,17772
6,JFK,AUA,B6,Passengers,17735
6,PHL,FRA,LH,Passengers,17734
6,PHL,LHR,BA,Passengers,17734
6,MCO,YYZ,WS,Passengers,17671
6,MIA,MAD,UX,Passengers,17624
6,IAH,DOH,QR,Passengers,17590
6,MIA,AUA,AA,Passengers,17580
6,JFK,MBJ,B6,Passengers,17549
6,JFK,LGW,BA,Passengers,17493
6,EWR,DUB,EI,Passengers,17491
6,SFO,SYD,QF,Passengers,17480
6,ORD,PTY,CM,Passengers,17462
6,MIA,YYZ,RV,Passengers,17446
6,SFO,DEL,AI,Passengers,17431
6,SFO,ICN,OZ,Passengers,17399
6,EWR,FRA,UA,Passengers,17382
6,EWR,HKG,UA,Passengers,17288
6,LAX,VIE,OS,Passengers,17213
6,DTW,ICN,DL,Passengers,17209
6,MIA,UIO,AA,Passengers,17194
6,DTW,PVG,DL,Passengers,17168
6,ORD,NRT,JL,Passengers,17157
6,SFO,PTY,CM,Passengers,17084
6,SEA,YVR,QK,Passengers,17027
6,SEA,YVR,CP,Passengers,16959
6,EWR,BCN,UA,Passengers,16916
6,EWR,MBJ,UA,Passengers,16867
6,LAX,HND,DL,Passengers,16856
6,FLL,VCP,AD,Passengers,16847
6,SFO,PVG,MU,Passengers,16814
6,EWR,LHR,BA,Passengers,16789
6,JFK,GRU,AA,Passengers,16747
6,MIA,LGW,DI,Passengers,16731
6,JFK,MXP,DL,Passengers,16731
6,MIA,MGA,AA,Passengers,16726
6,JFK,CAI,MS,Passengers,16715
6,SEA,NRT,DL,Passengers,16706
6,EWR,BRU,UA,Passengers,16652
6,LGA,YUL,9E,Passengers,16507
6,JFK,PUJ,DL,Passengers,16504
6,LAX,MAD,IB,Passengers,16500
6,DTW,NRT,DL,Passengers,16478
6,JFK,BCN,DL,Passengers,16472
6,FAT,GDL,AM,Passengers,16460
6,EWR,MEX,UA,Passengers,16449
6,DFW,YYZ,AA,Passengers,16444
6,JFK,NAS,DL,Passengers,16443
6,JFK,FCO,DL,Passengers,16441
6,ONT,TPE,CI,Passengers,16440
6,LAX,FCO,AZ,Passengers,16380
6,IAH,CDG,AF,Passengers,16372
6,JFK,MUC,LH,Passengers,16362
6,MIA,LIS,TP,Passengers,16362
6,DTW,PEK,DL,Passengers,16334
6,IAD,IST,TK,Passengers,16332
6,ORD,YYC,UA,Passengers,16324
6,LAX,PVG,DL,Passengers,16313
6,SEA,ICN,OZ,Passengers,16312
6,ORD,AMS,KL,Passengers,16295
6,DFW,GRU,AA,Passengers,16293
6,FLL,SJO,NK,Passengers,16277
6,HNL,NRT,HA,Passengers,16271
6,DCA,YYZ,KV,Passengers,16271
6,ATL,ICN,DL,Passengers,16265
6,JFK,ORY,AF,Passengers,16252
6,JFK,YYZ,9E,Passengers,16247
6,IAH,TPE,BR,Passengers,16225
6,JFK,BGI,B6,Passengers,16216
6,DFW,MTY,MQ,Passengers,16127
6,LAX,BCN,DY,Passengers,16114
6,BWI,MBJ,WN,Passengers,16098
6,MIA,LHR,AA,Passengers,16072
6,HNL,KIX,HA,Passengers,16065
6,JFK,POS,BW,Passengers,16062
6,ORD,AMM,RJ,Passengers,16044
6,BOS,MUC,LH,Passengers,16035
6,BOS,IST,TK,Passengers,16027
6,EWR,MUC,LH,Passengers,15986
6,BOS,SDQ,B6,Passengers,15980
6,ATL,JNB,DL,Passengers,15979
6,IAH,AMS,KL,Passengers,15959
6,JFK,MAN,MT,Passengers,15928
6,DEN,MUC,LH,Passengers,15922
6,ATL,DOH,QR,Passengers,15917
6,ATL,GRU,DL,Passengers,15893
6,DFW,NAS,AA,Passengers,15861
6,LAX,HND,AA,Passengers,15860
6,MIA,POS,AA,Passengers,15852
6,CLT,YYZ,OH,Passengers,15844
6,SFO,MUC,LH,Passengers,15756
6,MCO,VCP,AD,Passengers,15751
6,ATL,NRT,DL,Passengers,15727
6,ORD,HKG,CX,Passengers,15719
6,EWR,LIS,TP,Passengers,15718
6,JFK,TPE,BR,Passengers,15704
6,LAX,SYD,DL,Passengers,15698
6,CLT,MUC,LH,Passengers,15678
6,MIA,PTY,AA,Passengers,15666
6,PHL,PUJ,AA,Passengers,15601
6,CLT,FCO,AA,Passengers,15597
6,FLL,CUN,WN,Passengers,15587
6,SJU,PTY,CM,Passengers,15584
6,SAN,SJD,AS,Passengers,15580
6,JFK,HEL,AY,Passengers,15567
6,MSP,CDG,AF,Passengers,15563
6,JFK,MAD,UX,Passengers,15558
6,SFO,YVR,WS,Passengers,15549
6,PDX,AMS,DL,Passengers,15532
6,DFW,HKG,AA,Passengers,15528
6,LAX,HKG,AA,Passengers,15527
6,ORD,HEL,AY,Passengers,15497
6,JFK,LIM,LA,Passengers,15481
6,JFK,LIS,TP,Passengers,15476
6,LAX,DUB,EI,Passengers,15460
6,HNL,NRT,UA,Passengers,15449
6,SEA,PEK,HU,Passengers,15448
6,LAX,HKG,HX,Passengers,15442
6,SFO,CDG,UA,Passengers,15438
6,IAD,MUC,LH,Passengers,15431
6,SMF,GDL,AM,Passengers,15420
6,LAX,NRT,AA,Passengers,15411
6,LAX,SYD,AA,Passengers,15410
6,SFO,YYZ,UA,Passengers,15401
6,IAD,CDG,UA,Passengers,15386
6,LAX,YYC,WS,Passengers,15380
6,SFO,SAL,TA,Passengers,15376
6,SFO,YYC,WS,Passengers,15368
6,BOS,HKG,CX,Passengers,15357
6,DEN,YYZ,AC,Passengers,15271
6,SJU,PUJ,B6,Passengers,15323
6,PHX,YYC,WS,Passengers,15318
6,BOS,LIS,TP,Passengers,15314
6,EWR,YVR,AC,Passengers,15303
6,ATL,LHR,VS,Passengers,15300
6,MIA,STI,AA,Passengers,15294
6,MIA,GIG,AA,Passengers,15285
6,ATL,PVG,DL,Passengers,15266
6,PDX,YVR,QK,Passengers,15261
6,IAD,YYZ,YV,Passengers,15259
6,PHL,FCO,AA,Passengers,15248
6,SAN,LHR,BA,Passengers,15242
6,MIA,PLS,AA,Passengers,15229
6,HNL,NRT,KE,Passengers,15223
6,DTW,CDG,AF,Passengers,15219
6,EWR,SJO,UA,Passengers,15208
6,FLL,MBJ,WN,Passengers,15178
6,JFK,KWI,KU,Passengers,15168
6,MSP,CDG,DL,Passengers,15156
6,ORD,CDG,UA,Passengers,15148
6,DFW,ICN,AA,Passengers,15148
6,JFK,BRU,SN,Passengers,15140
6,ORD,VIE,OS,Passengers,15137
6,LAX,DOH,QR,Passengers,15117
6,JFK,NAS,B6,Passengers,15095
6,BOS,MAD,IB,Passengers,15067
6,JFK,FCO,AA,Passengers,15066
6,MSP,ICN,DL,Passengers,15063
6,IAD,DUB,EI,Passengers,15057
6,PHL,YYZ,KV,Passengers,15039
6,IAH,MEX,4O,Passengers,15035
6,LAX,GDL,4O,Passengers,15019
6,LAS,YVR,WS,Passengers,15013
6,JFK,CDG,AA,Passengers,15012
6,IAD,PEK,CA,Passengers,15002
6,SEA,ICN,KE,Passengers,14980
6,IAH,SAP,UA,Passengers,14939
6,ORD,ICN,KE,Passengers,14935
6,IAD,ICN,KE,Passengers,14923
6,MIA,BCN,AA,Passengers,14921
6,DTW,FRA,LH,Passengers,14917
6,LAS,MAN,MT,Passengers,14890
6,JFK,PAP,B6,Passengers,14877
6,IAH,BOG,UA,Passengers,14870
6,ORD,PEK,UA,Passengers,14844
6,IAH,FRA,UA,Passengers,14836
6,ORD,CPH,SK,Passengers,14806
6,EWR,FCO,UA,Passengers,14799
6,MSP,YWG,DL,Passengers,14785
6,LAX,PEK,AA,Passengers,14779
6,DFW,FCO,AA,Passengers,14748
6,ORD,PVG,UA,Passengers,14743
6,ORD,ARN,SK,Passengers,14740
6,LAS,YUL,RV,Passengers,14728
6,EWR,PEK,CA,Passengers,14710
6,IAH,YYZ,AC,Passengers,14636
6,EWR,GRU,UA,Passengers,14682
6,DFW,YYZ,KV,Passengers,14666
6,FLL,MEX,B6,Passengers,14665
6,IAD,FCO,UA,Passengers,14662
6,LAX,NAN,FJ,Passengers,14621
6,PHL,ATH,AA,Passengers,14608
6,SFO,PEK,UA,Passengers,14604
6,EWR,HKG,CX,Passengers,14585
6,DFW,PVG,AA,Passengers,14559
6,CLT,GCM,AA,Passengers,14551
6,BOS,PEK,HU,Passengers,14549
6,JFK,MXP,AA,Passengers,14544
6,FLL,NAS,WN,Passengers,14543
6,IAH,NRT,UA,Passengers,14531
6,IAH,MEX,5D,Passengers,14468
6,MIA,MAD,AA,Passengers,14461
6,LAX,PVG,AA,Passengers,14460
6,MIA,CDG,AA,Passengers,14453
6,ORD,GRU,UA,Passengers,14443
6,IAD,CPH,SK,Passengers,14431
6,FLL,NAS,UP,Passengers,14402
6,ATL,BCN,DL,Passengers,14396
6,IAD,NRT,UA,Passengers,14389
6,JFK,NCE,DL,Passengers,14371
6,MIA,SAL,AA,Passengers,14366
6,JFK,MAD,AA,Passengers,14356
6,JFK,BCN,AA,Passengers,14326
6,LAX,MEX,Y4,Passengers,14320
